Time,Stock,Money
23/03/2022,-1,8%
09/11/2021,-1,4%
11/06/2021,-1,10%
22/03/2021,-1,10%
02/12/2020,-1,5%
30/09/2020,-1,5%
08/07/2020,-1,10%
31/03/2020,-1,6%
03/12/2019,-1,5%
16/09/2019,-1,4%
28/06/2019,-1,7%
29/03/2019,-1,4%
28/11/2018,-1,4%
25/09/2018,-1,4%
28/06/2018,-1,6%
29/03/2018,-1,5%
07/12/2017,-1,4%
28/09/2017,-1,4%
26/06/2017,-1,8%
20/03/2017,-1,5%
02/12/2016,-1,5%
23/09/2016,-1,5%
03/06/2016,-1,10%
05/04/2016,-1,5%
30/11/2015,-1,5%
14/09/2015,-1,5%
06/07/2015,-1,10%
27/03/2015,-1,5%
01/12/2014,-1,5%
11/09/2014,-1,5%
12/06/2014,-1,10%
02/04/2014,-1,4%
26/11/2013,-1,6%
30/08/2013,-1,7%
30/05/2013,-1,8%
27/03/2013,-1,6%
30/11/2012,-1,5%
26/09/2012,-1,4%
26/06/2012,-1,4%
02/05/2012,-1,5%
14/12/2011,-1,3%
21/10/2011,-1,3%
28/04/2011,-1,5%
27/12/2010,-1,3%
22/09/2010,-1,3%
24/05/2010,-1,3%
